image_name,colour_rank,hex,red,green,blue,lab_l,lab_a,lab_b
sea_036.jpg,4,#157CA2,21,124,162,48.43,-13.56,-28.17
sea_036.jpg,5,#043D5D,4,61,93,24.05,-3.56,-23.95
sea_036.jpg,6,#13455B,19,69,91,27.2,-7.99,-17.86
sea_036.jpg,7,#7D9DB0,125,157,176,62.98,-6.47,-13.5
sea_036.jpg,8,#567E93,86,126,147,50.78,-8.37,-15.69
sea_036.jpg,9,#336177,51,97,119,38.96,-9.06,-17.18
sea_036.jpg,10,#9EBACC,158,186,204,73.92,-5.24,-12.48
sea_037.jpg,1,#01273B,1,39,59,14.34,-4.3,-16.43
sea_037.jpg,2,#012C42,1,44,66,16.58,-4.54,-17.85
sea_037.jpg,3,#013651,1,54,81,20.89,-4.58,-21.01
sea_037.jpg,4,#013149,1,49,73,18.7,-4.73,-19.17
sea_037.jpg,5,#013F5F,1,63,95,24.9,-4.67,-23.85
sea_037.jpg,6,#013A58,1,58,88,22.89,-4.47,-22.54
sea_037.jpg,7,#014265,1,66,101,26.37,-4.14,-25.5
sea_037.jpg,8,#01476C,1,71,108,28.41,-4.24,-26.89
sea_037.jpg,9,#1C4248,28,66,72,25.78,-11.63,-7.76
sea_037.jpg,10,#3A6E75,58,110,117,43.32,-15.47,-9.0
sea_038.jpg,1,#18587A,24,88,122,35.09,-7.0,-25.16
sea_038.jpg,2,#186C89,24,108,137,42.26,-13.04,-23.23
sea_038.jpg,3,#053949,5,57,73,21.86,-10.01,-13.92
sea_038.jpg,4,#063F5D,6,63,93,25.02,-5.01,-22.6
sea_038.jpg,5,#4A7C9F,74,124,159,50.01,-6.73,-23.72
